class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.9153381954941662,91.02260577034194,80.64204206033985,28.335352088343072,4.0236274902941574e-08,4.073885556824429e-08,81.94397854986153,359,5.807509183883667,35800,21415
WIZARD,1.9163858988258669,90.97523439657866,80.69448138933257,28.330113657388562,6.769740288158405e-05,0.00010285929736664861,81.94243783378224,160,2.5945231914520264,15900,9452
WIZARD,1.920017446402497,91.3714799617069,80.9471647308273,27.56362164576724,0.042290721207942715,0.07544294049062318,81.85649828993849,62,0.990955114364624,6100,3661
WIZARD,1.9155733349064716,91.0270311064801,80.633050088823,28.33990524756237,7.85228817087569e-06,5.70484638437329e-06,81.94384559537588,199,3.1741209030151367,19800,11877
WIZARD,1.9140499675724232,91.02577078714663,80.63900237457935,28.33480253107434,0.00021163861149953373,0.00021266858819297838,81.94246421201396,136,2.1693849563598633,13500,8051
WIZARD,1.9150854902231413,91.02160267720609,80.64201986673524,28.336376990365064,2.037002306298613e-07,2.619933607386953e-07,81.9439883018074,295,4.724168062210083,29400,17553
WIZARD,1.9150387077689015,91.02351108737001,80.64138490534852,28.335103990408232,1.0958700238374228e-08,5.914564153156323e-09,81.94397625133766,388,6.204180955886841,38700,23316
WIZARD,1.915262571264556,91.02302999920603,80.64146408612108,28.33550591404248,2.278323395751653e-10,4.0259578060177245e-10,81.94399511378856,425,6.826119899749756,42400,25405
WIZARD,1.91578040961497,91.02372175763591,80.64387646857772,28.332401772760065,6.979066440743185e-10,3.284492401746537e-10,81.94364986276612,415,6.6158599853515625,41400,24934
WIZARD,1.915699340385419,91.02383918353831,80.63616696705562,28.339993738604093,4.282885810000929e-08,6.797311274807992e-08,81.94373963263696,292,4.6825268268585205,29100,17453
