class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.9126741619257437,91.91898315744724,80.88607771686569,26.864096351622297,0.2147203500183696,0.11612242404641368,81.75118609578041,34,3.244436025619507,3300,3152
WIZARD,1.913817507992992,90.77739195637425,81.86772303947104,27.17155487601269,0.07744767228216648,0.10588245585985624,81.83845550551854,45,4.177196979522705,4400,4203
WIZARD,1.91053082874603,90.75404120313007,80.06312825051613,28.813104004471892,0.24465484561940504,0.12507169626251605,81.72428357064167,35,3.156425952911377,3400,3253
WIZARD,1.91186103379173,90.0382571878544,81.49613479129347,28.118196044153724,0.23194159268071043,0.11547038401770789,81.73934651638437,54,4.3808581829071045,5300,5048
WIZARD,1.9132680523481662,90.02268205977956,80.03213501315504,28.958681519018988,0.6582014632111425,0.3282999448352747,81.41036949207798,22,1.780128002166748,2100,2032
WIZARD,1.910435923389238,90.17723792925199,80.00302789427457,29.61128303103856,0.09090122566201289,0.1175499197728286,81.80409218041363,47,3.848254919052124,4600,4384
WIZARD,1.912819345315052,92.26471109361589,80.48030313562872,26.858570990594394,0.1647943033327235,0.23162047682826903,81.71436614224456,31,2.441632032394409,3000,2838
WIZARD,1.9081751271134713,91.39443169604891,80.39494103550076,28.08038828615696,0.08174629938436317,0.04849268290900724,81.82499454849881,50,4.075268745422363,4900,4683
WIZARD,1.9226303521357073,90.99052404000697,79.0350267087402,28.597080812223705,0.649309047491296,0.7280593915378274,81.15700503902532,20,1.6302001476287842,1900,1816
WIZARD,1.9112930777816965,90.50743567985845,80.10613537254655,29.06265037593101,0.25512600558719534,0.06865256607680152,81.7519677238461,38,3.0255229473114014,3700,3523
