class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.9155472206662512,91.02428559680642,80.64443186230474,28.33128254088873,6.520151186123507e-14,9.838597922974634e-14,81.94387263315714,660,10.504677057266235,65900,19633
WIZARD,1.9153609462210894,90.99524384829807,80.56342010348177,28.44111152239077,8.269889840040264e-05,0.00014182693096714908,81.94380906139145,217,3.4176247119903564,21600,6513
WIZARD,1.9150814171142885,91.02262068966944,80.64461952664658,28.332759783683777,1.4509825522233773e-13,1.1319208170026513e-13,81.94398764385608,659,10.431854009628296,65800,19873
WIZARD,1.9151436845304302,91.02298900862121,80.6575761360366,28.319434844629587,5.381941224946342e-09,5.3306702590593125e-09,81.94399649494059,443,6.96303915977478,44200,13161
WIZARD,1.9143878798851768,91.02313357714212,80.64214099255206,28.334725430305685,9.227240963625342e-14,7.062420035653722e-14,81.94334818550652,636,10.229826927185059,63500,19124
WIZARD,1.915048393942876,91.02263106299408,80.64567430281893,28.33169463418684,1.231228020016497e-13,9.661473643520168e-14,81.94397911481944,613,10.047834873199463,61200,18463
WIZARD,1.9153798258733366,91.02262511252869,80.6376936713972,28.3396812158047,1.709380908922064e-10,9.848804713476675e-11,81.94396444617662,485,7.670177936553955,48400,14648
WIZARD,1.9154021649275017,90.96673868509221,80.50712705006505,28.50600861348379,0.006991193656081954,0.0131344577028885,81.93337613585231,93,1.4993228912353516,9200,2700
WIZARD,1.9150833886169418,91.02006497914549,80.62108543537992,28.35876075775151,5.6067111727966435e-05,3.276061134698242e-05,81.9439384136616,216,3.4808340072631836,21500,6455
WIZARD,1.9152364163595703,91.02183110546473,80.59238590987428,28.383261096807157,0.0010192638842421303,0.0015026239695818335,81.94267027005006,119,1.8901848793029785,11800,3531
