class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.9144739913920092,91.01111430801743,80.66925778713377,28.319627904848563,1.2282842953449443e-13,1.5592610864561004e-13,81.94347600600233,181,3.412001132965088,18000,14432
WIZARD,1.9152798542219978,91.02425462534761,80.63803442932247,28.337710945329544,1.955514538359772e-13,1.8409575907274126e-13,81.94399227543194,183,3.430964946746826,18200,14592
WIZARD,1.9150449033958437,91.01927118581985,80.6397607726183,28.340968041561627,1.2629901290512346e-13,1.2230590073840104e-13,81.94397795025577,182,3.3852181434631348,18100,14347
WIZARD,1.914729991386395,91.03245463215073,80.6742526830691,28.293292684779757,2.0317322713822177e-13,2.3663572237493924e-13,81.94377751539322,172,3.2149438858032227,17100,13634
WIZARD,1.9148129312185262,91.02203375581082,80.6393500695286,28.338616174660388,1.2292157825323672e-13,9.905735619514583e-14,81.94385478913433,181,3.365529775619507,18000,14378
WIZARD,1.91501552078066,91.02591619517193,80.63904540208385,28.335038402743997,1.2490152978070418e-13,1.1237858337769386e-13,81.94396843537129,194,3.6756317615509033,19300,15509
WIZARD,1.9163856974990487,91.0216427541435,80.64318516065944,28.335172085196835,1.1503530947032307e-13,1.2325048749663027e-13,81.94255452903316,190,3.5350019931793213,18900,15088
WIZARD,1.9155360024351578,91.02742004716562,80.63689105487904,28.335688897955173,1.2617907365653095e-13,5.947652695685625e-14,81.94388037114808,184,4.26265811920166,18300,14538
WIZARD,1.9149218971188273,91.01935785302864,80.6508412340431,28.329800912928103,9.492928569696063e-14,9.713671101116166e-14,81.94392585353427,175,3.3704700469970703,17400,13934
WIZARD,1.9153005673055747,91.02770915799834,80.63238284945072,28.339907992550643,1.1610821811623228e-13,1.831778604446734e-13,81.94398771484028,185,3.596763849258423,18400,14783
