class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.9152758777708625,91.02445637221358,80.64595657053934,28.329587057247018,4.1186676804512e-14,6.563820084199683e-14,81.94399294684845,581,41.619213819503784,58000,40551
WIZARD,1.9156036680969108,91.02276210865283,80.64117899202554,28.3360588902394,4.708397510596485e-09,4.373834801589625e-09,81.94382886676445,345,27.09141993522644,34400,23994
WIZARD,1.9155541901761854,90.99392103020563,80.69624826511334,28.309705210440445,5.122117974115217e-05,7.42730608475503e-05,81.94378412300459,165,14.090874671936035,16400,11469
WIZARD,1.9152881422851171,91.02348901606108,80.64169766016185,28.334813323776793,1.0051599646185442e-13,1.8204525782792472e-13,81.94399082395296,531,55.01169204711914,53000,37052
WIZARD,1.9154251669587792,91.02390030285473,80.63419826697884,28.34190143008248,4.856393056161279e-11,3.539506023758103e-11,81.94394496512167,468,43.403916120529175,46700,32637
WIZARD,1.9152142804935575,91.01731105435111,80.67417494695678,28.30850947461332,2.3676837138372674e-06,2.156395050141836e-06,81.94399222682172,238,26.312055110931396,23700,16663
WIZARD,1.915229701043692,91.02294204109441,80.63723725291807,28.339820705987417,5.92915273942554e-14,9.692306162641193e-14,81.94399856119398,537,53.387367963790894,53600,37552
WIZARD,1.915223121191035,91.02329073370993,80.64264069572363,28.334068546380436,1.1256364919550758e-08,1.2929668215310173e-08,81.94399913060239,352,28.97816801071167,35100,24652
WIZARD,1.9159630701037673,91.02734740050104,80.6544749391791,28.318175869321397,8.021964635917976e-07,9.888020255278125e-07,81.94339608243945,242,17.97893500328064,24100,16799
WIZARD,1.91523428683557,91.02208251430226,80.64851527343146,28.329401425559766,3.56635327099454e-07,4.300711703662879e-07,81.94399771667807,261,19.3367280960083,26000,18215
