class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.9150052604567354,91.02424423672217,80.62128167589846,28.354474087379227,9.772873147516889e-14,6.928651143791503e-14,81.94396256678885,182,15.907202959060669,18100,12732
WIZARD,1.9143639579527865,91.0280365231104,80.63385148833773,28.338111988551667,7.152703009518357e-14,1.2468340697938872e-13,81.94330845080145,191,21.853300094604492,19000,13260
WIZARD,1.9151571839407888,91.03352229011172,80.6342382181933,28.332239491694764,1.5467289279678329e-13,9.410592925283623e-14,81.94399780352946,179,16.3053617477417,17800,12360
WIZARD,1.9157723784853782,91.02113561522548,80.6518756634122,28.32698872136217,9.894714386974159e-14,8.123685505089878e-14,81.94365893408823,185,15.492823123931885,18400,12812
WIZARD,1.9169106013655475,91.03083708462655,80.6250361600822,28.34412675529099,1.5445858080660718e-13,1.1837410916378806e-13,81.94099553273651,186,15.047837734222412,18500,12970
WIZARD,1.9147936645418349,91.02201624096932,80.64197456412774,28.336009194902765,5.83427638218214e-14,1.3849590419215038e-13,81.94383972497272,181,17.246196031570435,18000,12576
WIZARD,1.9151176215502976,91.02238353518037,80.65972028561934,28.317896179200133,1.146543032527116e-13,6.789298920338997e-14,81.94399291715175,190,15.379348039627075,18900,13341
WIZARD,1.9154415816199795,91.02240857220504,80.63362620880666,28.343965218988203,6.623884038947104e-14,6.508436376755944e-14,81.94393687224274,194,16.64272689819336,19300,13602
WIZARD,1.9150882692635907,91.01476183636804,80.65377885885599,28.331459304775894,6.907389006261012e-14,6.250832570595616e-14,81.94398812260798,190,15.76515793800354,18900,13214
WIZARD,1.9162997702575686,91.0246003613602,80.6405205439644,28.334879094675035,2.409042903274424e-13,1.8007531955826393e-13,81.94275561299652,197,16.769752025604248,19600,13682
