class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.91510390487762,91.02556987023543,80.63227295127695,28.34215717848752,5.933630303237184e-14,5.886006434356255e-14,81.94399171351009,402,120.10491800308228,40200,28189
WIZARD,1.915194472247788,91.02317396684336,80.64219261034023,28.334633422816278,6.573717920593973e-14,7.374264367708783e-14,81.94400009706062,383,112.03783297538757,38200,26734
WIZARD,1.9153440543226399,91.02236232535321,80.63968075275967,28.337956921887063,3.503163390240273e-14,6.772624240071653e-14,81.94397678804937,371,111.4064040184021,37000,25882
WIZARD,1.9152552671776897,91.02183484283694,80.6414182295616,28.33674692760138,6.406645443985794e-14,4.0798825677910254e-14,81.94399607797459,360,108.07501292228699,35900,25084
WIZARD,1.9150788784928703,91.02317976828809,80.64217216507204,28.334648066639797,6.988131922057798e-14,6.179876120765417e-14,81.9439870975661,388,117.0375828742981,38700,27001
WIZARD,1.9152264390300617,91.02367589951618,80.64390483062888,28.332419269854476,3.9007539891078374e-13,9.390245850220335e-14,81.94399890714601,370,120.19069004058838,37000,25958
WIZARD,1.9149935727515555,91.02236973005876,80.63781198855405,28.339818281387082,6.804610894645687e-14,7.067251158103281e-14,81.9439600926126,390,114.49040007591248,38900,27193
WIZARD,1.9153371400164296,91.02348613025362,80.64253431695013,28.333979552763537,1.2438870519281312e-11,2.0277755794364018e-11,81.94397890407222,305,146.76431608200073,30500,21410
WIZARD,1.9151536590681095,91.02317464990077,80.64222492133042,28.3346004287687,6.593170794494114e-14,6.880086631136638e-14,81.94399858941989,377,120.23905611038208,37700,26317
WIZARD,1.915119016273867,91.0232902561873,80.64284568459401,28.333864059218104,4.0370284370835124e-13,2.122451945197975e-13,81.94399466697874,381,120.2253029346466,38100,26780
