class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.8985897085917083,73.27963389871483,77.07594581232026,33.550666363079394,13.83732541444373,2.256428511441785,71.63647262650987,7,0.11113810539245605,600,477
WIZARD,1.8294462660344293,97.76398705514902,67.68521718527147,19.998012026112992,1.8542972790930505,12.698486454373487,68.45437917916435,7,0.11143970489501953,600,488
WIZARD,1.8779320453885402,79.37159264572917,60.873781510565905,46.84610834456104,3.7423401434265386,9.166177355717325,72.14279728877474,10,0.16583514213562012,900,705
WIZARD,1.9325969439886461,94.60941958325272,75.28801745867345,11.098958176470301,14.04309304607574,4.960511735527829,70.72728307997534,7,0.11068987846374512,600,461
WIZARD,1.9359247100126924,70.04722044101946,89.20805021930695,30.059823508418724,10.041204686722244,0.6437011445326195,72.80182526813266,8,0.13004374504089355,700,566
WIZARD,1.8641681010710056,83.45019605635214,69.08780955647835,29.04917734183276,14.075664249072892,4.337152796263852,69.99055499205966,7,0.11172080039978027,600,480
WIZARD,1.8927010498476218,85.72754536405616,72.81457366846087,38.38642396491335,2.1835082648720308,0.8879487376975815,79.33323945227431,31,0.5429151058197021,3000,2409
WIZARD,1.90321188951986,84.2447431476012,63.10793427559153,36.25244464761617,0.17201985477129353,16.22285807441979,72.57387743122615,9,0.1470949649810791,800,658
WIZARD,1.898956604215961,62.388620150819804,101.81588596707817,27.2407600469232,8.211427491076519,0.34330634410229605,69.93521248377994,7,0.11147189140319824,600,472
WIZARD,1.9372998937238937,77.58760125926496,83.47943075368644,13.163345412845619,15.867396302470137,9.902226271732868,67.65562663434469,7,0.1105952262878418,600,493
