class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.8985897085917083,73.27963389871483,77.07594581232026,33.550666363079394,13.83732541444373,2.256428511441785,71.63647262650987,7,0.11075019836425781,600,477
WIZARD,1.8963716875729901,62.53695351279334,78.34720807766122,49.61262779995006,2.6573355846105073,6.845875024984866,70.58424154172896,14,0.25438904762268066,1300,1060
WIZARD,1.884236515600858,80.31488819256455,63.445008359544474,39.09930203459366,12.85185098000749,4.28895043328981,70.83859403032,7,0.1112520694732666,600,479
WIZARD,1.960250996823456,92.69719808786223,54.58702901271259,43.934507151667894,0.6952725476327328,8.085993200124541,72.43438801368022,16,0.27395009994506836,1500,1224
WIZARD,1.9262283713682349,73.06021207897736,66.60742143876833,28.806522978719517,1.6519537391774837,29.8738897643573,64.99243397448292,7,0.10998702049255371,600,474
WIZARD,1.9408228719692093,95.48820286048607,62.78865633015706,28.564708202604816,1.8160068377714633,11.34242576898057,73.05298514865603,11,0.18144607543945312,1000,788
WIZARD,1.8530411490216947,69.26174107577972,66.71365835044472,56.030326928436175,5.462822176328947,2.5314514690104364,70.15937531132434,11,0.18207883834838867,1000,784
WIZARD,1.8566365906741191,74.99970671756908,85.4708469425917,30.03540345817513,1.7335521463578298,7.760490735306246,73.09076467256482,7,0.11022686958312988,600,495
WIZARD,1.8849472445687057,86.67664492155397,79.17913654953371,20.86649809354923,5.001536710390365,8.276183724972736,74.29410214015493,7,0.11044597625732422,600,488
WIZARD,1.980359677588684,82.76772384163812,78.83955959635604,27.257778881809564,7.712999911751023,3.421937768445258,70.88240811659159,12,0.20351195335388184,1100,914
