cost,expandedNodes,borderNodes,executionTime
110,39364,5742,6.438327074050903
110,39364,5742,6.928432941436768
110,39364,5742,6.57403302192688
110,39364,5742,7.003316879272461
110,39364,5742,6.6713128089904785
110,39364,5742,7.032313823699951
110,39364,5742,6.683787107467651
110,39364,5742,7.040095090866089
110,39364,5742,6.692657709121704
110,39364,5742,6.841871738433838
