class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.914788913295592,90.97575559912592,80.78160530270598,28.23982682834745,0.0016634802002868502,0.0011487896203827576,81.94224738755729,102,1.6296319961547852,10100,5055
WIZARD,1.915146804685802,91.02610536793048,80.63579437040924,28.338100128665058,6.064855731410001e-08,7.2346691878366e-08,81.94399770426313,329,5.250942945480347,32800,16344
WIZARD,1.9148611396089916,91.02523192381449,80.64812423749494,28.326643838690426,6.614963338574083e-14,1.270374752332734e-13,81.94388914140097,570,9.112303972244263,56900,28496
WIZARD,1.9158563935882897,90.8333583558505,80.73915604223264,28.422280681740908,0.002642630729438245,0.0025622894464960616,81.94050293015954,128,2.2200751304626465,12700,6395
WIZARD,1.91508693206298,91.02251126176016,80.64672707304264,28.33076166519218,2.2926723376995657e-12,2.7263692141515083e-12,81.94398877708076,554,8.872519969940186,55300,27651
WIZARD,1.9151403197639671,91.02317012210976,80.64445923764193,28.332370640224806,1.3118482597826142e-11,1.0376184395407482e-11,81.94399734064761,548,8.772452116012573,54700,27412
WIZARD,1.9151493859487596,91.04471563167114,80.62681138167117,28.328450912086257,1.1082481292801301e-05,1.0992090103765478e-05,81.94398220909068,234,3.737823963165283,23300,11630
WIZARD,1.913547615942639,90.96565685320009,81.27171614617897,27.701588610322222,0.03197976325211399,0.02905862704660856,81.90708577485134,85,1.3404152393341064,8400,4165
WIZARD,1.9150238984005719,91.02445306498979,80.6434910340702,28.33205590093971,1.198380071886889e-13,1.9332590006555025e-13,81.94397142006875,597,9.526161909103394,59600,29688
WIZARD,1.91619590173799,90.97780339716924,80.5529436902812,28.46878877878724,0.0001571945862168378,0.0003069391761117294,81.9426661414272,150,2.414674758911133,14900,7463
