class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.9150118615487681,91.02139076458093,80.63539916450996,28.343209839498716,9.217822471936503e-08,1.3923218537313312e-07,81.94396678551797,370,5.9231719970703125,36900,18418
WIZARD,1.9152496343015744,91.02454301731733,80.64648978754413,28.32896716297968,1.802811987976952e-08,1.4130750574782205e-08,81.94399663819037,415,6.674004793167114,41400,20690
WIZARD,1.9151748451198707,91.02322502452871,80.64519503781588,28.331579708544407,1.1467854869067451e-07,1.144324453506221e-07,81.9439996249423,381,6.087087154388428,38000,19059
WIZARD,1.911868794034032,93.03975898297826,78.25202148664464,26.754939886091343,0.7151055087227758,1.2381741355629714,80.84738319837231,28,0.4342522621154785,2700,1342
WIZARD,1.9151511768173017,91.0029461332945,80.64594252086401,28.351062867041826,2.8788687891941467e-05,1.969011177904622e-05,81.94396919472095,251,4.007784128189087,25000,12576
WIZARD,1.9151581225372007,91.01119595066058,80.64490608837757,28.343897843470327,3.838675128768566e-08,7.910480062581075e-08,81.94399761746311,391,6.248652935028076,39000,19389
WIZARD,1.9126122269414694,90.88840283083053,80.85814227985166,28.215216180690383,0.011583205853417832,0.02665550277401502,81.91723697648959,94,1.4872117042541504,9300,4636
WIZARD,1.9123618383765546,90.88378253100947,80.3534515174973,28.753702631584606,0.004891069317511868,0.004172250591097369,81.93050860483619,122,1.9457809925079346,12100,6026
WIZARD,1.9150483049644624,91.02691544269109,80.6463865462082,28.32668785918414,6.37451887047265e-06,3.7773976636140702e-06,81.9439734982815,282,4.487744092941284,28100,14169
WIZARD,1.914923271720518,90.8206237913547,80.3638750977838,28.78690803932526,0.017937769537786554,0.010655301998447018,81.92788828790626,112,1.7757952213287354,11100,5504
