class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.8985897085917083,73.27963389871483,77.07594581232026,33.550666363079394,13.83732541444373,2.256428511441785,71.63647262650987,7,2.038770914077759,600,476
WIZARD,1.9581992106713413,107.96602562220023,62.82118598539223,20.039905010956137,9.09962542124458,0.07325796020681909,71.09853082248594,13,3.600064992904663,1200,944
WIZARD,1.9028556287426521,75.98934069623216,91.69935052676145,25.126379093737377,2.1209227608728667,5.0640069223961515,76.29935427367035,17,4.3614349365234375,1600,1277
WIZARD,1.9782417403798713,76.29468427361243,83.08512848879354,34.27210290564799,4.317747368038456,2.0303369639075974,72.42138761530917,7,1.5437562465667725,600,493
WIZARD,1.923133942928736,70.76979048359418,99.50809177689631,20.75004498111045,4.4461115598765675,4.525961198522503,73.4147483422844,12,3.1249148845672607,1100,863
WIZARD,1.4183411056076207,75.61387536955307,52.78843851982753,69.64247229433737,0.6900839237836633,1.2651298924983538,63.02752215488085,7,1.3308210372924805,600,493
WIZARD,1.8566365906741193,74.66422073774932,85.98315461435479,29.901050176016398,1.7257976834960003,7.7257767883834845,73.01739169319583,7,1.704728126525879,600,481
WIZARD,1.9034533283280042,70.56851661196772,69.20995971846045,56.38660609942071,2.790603031562722,1.044314538588431,75.05587148363948,7,1.666609764099121,600,481
WIZARD,1.9328251166952977,82.06197873673388,48.05029171670898,60.17829532799382,4.725330311294532,4.984103907268792,71.03468121585223,7,1.6689820289611816,600,474
WIZARD,1.910822306710788,75.29782517150451,74.02522609555692,31.27989755714632,11.69704347106046,7.700007704731788,70.97325275523009,10,2.3698220252990723,900,716
