class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.8985897085917083,73.27963389871483,77.07594581232026,33.550666363079394,13.83732541444373,2.256428511441785,71.63647262650987,7,2.079310894012451,600,476
WIZARD,1.949142539646086,72.60323497640319,71.57478068173468,46.99535677464001,0.5049014440768052,8.321726123145304,73.58509434283764,8,2.3202953338623047,700,550
WIZARD,1.8979616188605153,72.00651814873792,112.50907662316347,12.823657754384643,1.2195937279970803,1.4411537457168828,74.29900133223141,11,2.74938702583313,1000,779
WIZARD,1.9504762356792136,85.09601221333763,85.23584111924956,25.30457331503767,1.2123252665958892,3.151248085779253,78.04170530613236,19,9.081794023513794,1800,1463
WIZARD,1.8331646716344108,85.72471488280975,83.78458440130062,19.306221180491967,4.7353203188765045,6.449159216521141,71.52007929181987,12,4.993766784667969,1100,872
WIZARD,1.9584056106325716,80.08810514615179,59.59098155827887,50.517435791950724,1.8561351754785334,7.947342328140088,72.35071873767484,10,4.235314130783081,900,725
WIZARD,1.8401589606769464,86.72100822828139,86.46072132961044,12.38647228358692,9.13280824344005,5.29898991508116,70.20951172204447,7,1.6329269409179688,600,498
WIZARD,1.9409473341871721,73.15137125019251,55.34838642862454,53.750635511354275,6.023685537340087,11.72592127248855,68.27648161105603,7,3.382786989212036,600,473
WIZARD,1.882173595841367,72.90142955046105,84.1878740497549,41.369375740223944,1.3034328022582349,0.23788785730187112,77.32849143487846,23,7.531301021575928,2200,1762
WIZARD,1.9827937690221649,75.72930094461489,73.41129933152398,47.30296386383357,3.1978246668054933,0.35861119322208007,72.04952707755658,7,2.728034019470215,600,487
