epoch,trainingMSE,testingMSE
0,2560.0062828043506,2560.0062828043506
1,2460.747498850656,2460.747498850656
2,2344.62375020036,2344.62375020036
3,2204.408080197704,2204.408080197704
4,2029.997074521494,2029.997074521494
5,1815.5596257495909,1815.5596257495909
6,1583.1909508336048,1583.1909508336048
7,1377.3961581555975,1377.3961581555975
8,1209.4707726596841,1209.4707726596841
9,1069.0978338894395,1069.0978338894395
10,949.1952641943833,949.1952641943833
11,846.4817461220753,846.4817461220753
12,758.8590437180735,758.8590437180735
13,684.3186669683502,684.3186669683502
14,620.7721841439737,620.7721841439737
15,566.1796754453044,566.1796754453044
16,518.7001460527279,518.7001460527279
17,476.79408176456076,476.79408176456076
18,439.28808110658093,439.28808110658093
19,405.419811666361,405.419811666361
20,374.8535762129533,374.8535762129533
21,347.61904838243817,347.61904838243817
22,323.92530020434936,323.92530020434936
23,303.8873710779264,303.8873710779264
24,287.31846672443885,287.31846672443885
25,273.7236801252574,273.7236801252574
26,262.46085592140554,262.46085592140554
27,252.91932682037609,252.91932682037609
28,244.61665421785233,244.61665421785233
29,237.21243331213967,237.21243331213967
30,230.48063065683831,230.48063065683831
31,224.2740229205558,224.2740229205558
32,218.4953512999163,218.4953512999163
33,213.0778294409615,213.0778294409615
34,207.9731516152771,207.9731516152771
35,203.144466240482,203.144466240482
36,198.562337035262,198.562337035262
37,194.20241090328255,194.20241090328255
38,190.0440356792367,190.0440356792367
39,186.0694027642253,186.0694027642253
40,182.26298274212056,182.26298274212056
41,178.61112910470902,178.61112910470902
42,175.10178289550458,175.10178289550458
43,171.72424167360668,171.72424167360668
44,168.46897231490283,168.46897231490283
45,165.32745567597036,165.32745567597036
46,162.29205569335636,162.29205569335636
47,159.3559079835973,159.3559079835973
48,156.51282443326264,156.51282443326264
49,153.7572111301811,153.7572111301811
50,151.08399754656105,151.08399754656105
51,148.4885752753512,148.4885752753512
52,145.96674491197822,145.96674491197822
53,143.51466990100326,143.51466990100326
54,141.12883635116586,141.12883635116586
55,138.8060179742096,138.8060179742096
56,136.54324542991236,136.54324542991236
57,134.337779466681,134.337779466681
58,132.18708733739973,132.18708733739973
59,130.08882204666685,130.08882204666685
60,128.04080405030427,128.04080405030427
61,126.04100508290473,126.04100508290473
62,124.08753383571782,124.08753383571782
63,122.17862324666844,122.17862324666844
64,120.31261919783466,120.31261919783466
65,118.4879704442181,118.4879704442181
66,116.70321962190003,116.70321962190003
67,114.95699520434609,114.95699520434609
68,113.24800429326201,113.24800429326201
69,111.5750261454774,111.5750261454774
70,109.93690635024203,109.93690635024203
71,108.33255158238467,108.33255158238467
72,106.76092486629234,106.76092486629234
73,105.22104129385333,105.22104129385333
74,103.71196414656035,103.71196414656035
75,102.23280137806992,102.23280137806992
76,100.78270241878955,100.78270241878955
77,99.3608552686386,99.3608552686386
78,97.96648384811023,97.96648384811023
79,96.59884558121824,96.59884558121824
80,95.25722918693491,95.25722918693491
81,93.94095265836418,93.94095265836418
82,92.64936141120302,92.64936141120302
83,91.38182658507058,91.38182658507058
84,90.13774348306443,90.13774348306443
85,88.91653013646969,88.91653013646969
86,87.71762598292734,87.71762598292734
87,86.54049064758978,86.54049064758978
88,85.38460281786772,85.38460281786772
89,84.24945920333325,84.24945920333325
90,83.13457357318764,83.13457357318764
91,82.03947586446033,82.03947586446033
92,80.96371135477645,80.96371135477645
93,79.90683989412751,79.90683989412751
94,78.8684351906171,78.8684351906171
95,77.84808414562893,77.84808414562893
96,76.84538623429454,76.84538623429454
97,75.85995292752075,75.85995292752075
98,74.89140715218183,74.89140715218183
99,73.93938278639068,73.93938278639068
100,73.00352418704342,73.00352418704342
101,72.08348574708022,72.08348574708022
102,71.17893148013495,71.17893148013495
103,70.28953463044847,70.28953463044847
104,69.41497730610642,69.41497730610642
105,68.55495013383005,68.55495013383005
106,67.70915193369937,67.70915193369937
107,66.87728941232591,66.87728941232591
108,66.05907687311817,66.05907687311817
109,65.25423594239463,65.25423594239463
110,64.46249531020348,64.46249531020348
111,63.68359048480183,63.68359048480183
112,62.91726355983271,62.91726355983271
113,62.16326299331608,62.16326299331608
114,61.421343397640904,61.421343397640904
115,60.69126533981149,60.69126533981149
116,59.972795151258325,59.972795151258325
117,59.26570474658049,59.26570474658049
118,58.569771450634335,58.569771450634335
119,57.884777833429254,57.884777833429254
120,57.21051155233361,57.21051155233361
121,56.54676520113027,56.54676520113027
122,55.893336165498205,55.893336165498205
123,55.25002648452661,55.25002648452661
124,54.61664271789959,54.61664271789959
125,53.99299581841381,53.99299581841381
126,53.3789010095194,53.3789010095194
127,52.77417766759446,52.77417766759446
128,52.17864920868572,52.17864920868572
129,51.5921429794678,51.5921429794678
130,51.01449015218987,51.01449015218987
131,50.44552562339548,50.44552562339548
132,49.88508791621702,49.88508791621702
133,49.33301908605911,49.33301908605911
134,48.789164629498075,48.789164629498075
135,48.25337339623774,48.25337339623774
136,47.72549750397053,47.72549750397053
137,47.205392256005005,47.205392256005005
138,46.692916061528535,46.692916061528535
139,46.18793035838358,46.18793035838358
140,45.69029953824314,45.69029953824314
141,45.19989087407798,45.19989087407798
142,44.7165744498172,44.7165744498172
143,44.24022309210609,44.24022309210609
144,43.77071230407449,43.77071230407449
145,43.30792020103261,43.30792020103261
146,42.85172744801626,42.85172744801626
147,42.40201719910844,42.40201719910844
148,41.95867503846784,41.95867503846784
149,41.52158892299982,41.52158892299982
150,41.090649126607744,41.090649126607744
151,40.665748185967075,40.665748185967075
152,40.2467808477669,40.2467808477669
153,39.83364401736721,39.83364401736721
154,39.42623670882276,39.42623670882276
155,39.02445999622604,39.02445999622604
156,38.62821696632598,38.62821696632598
157,38.23741267237939,38.23741267237939
158,37.85195408919519,37.85195408919519
159,37.47175006933316,37.47175006933316
160,37.09671130042092,37.09671130042092
161,36.7267502635544,36.7267502635544
162,36.361781192747706,36.361781192747706
163,36.00172003540165,36.00172003540165
164,35.646484413759715,35.646484413759715
165,35.29599358732313,35.29599358732313
166,34.950168416195886,34.950168416195886
167,34.60893132533392,34.60893132533392
168,34.27220626967232,34.27220626967232
169,33.93991870010554,33.93991870010554
170,33.611995530297115,33.611995530297115
171,33.2883651042958,33.2883651042958
172,32.968957164935844,32.968957164935844
173,32.65370282300045,32.65370282300045
174,32.34253452712749,32.34253452712749
175,32.035386034437714,32.035386034437714
176,31.73219238186642,31.73219238186642
177,31.432889858179575,31.432889858179575
178,31.137415976657028,31.137415976657028
179,30.845709448425094,30.845709448425094
180,30.557710156421713,30.557710156421713
181,30.273359129977752,30.273359129977752
182,29.99259851999897,29.99259851999897
183,29.715371574733176,29.715371574733176
184,29.441622616107505,29.441622616107505
185,29.171297016621928,29.171297016621928
186,28.904341176784083,28.904341176784083
187,28.64070250307295,28.64070250307295
188,28.380329386417227,28.380329386417227
189,28.123171181176012,28.123171181176012
190,27.869178184608963,27.869178184608963
191,27.618301616824574,27.618301616824574
192,27.370493601193722,27.370493601193722
193,27.125707145217497,27.125707145217497
194,26.883896121838536,26.883896121838536
195,26.645015251183956,26.645015251183956
196,26.409020082730475,26.409020082730475
197,26.175866977880258,26.175866977880258
198,25.945513092938533,25.945513092938533
199,25.717916362482246,25.717916362482246
200,25.49303548311074,25.49303548311074
201,25.2708298975692,25.2708298975692
202,25.051259779235632,25.051259779235632
203,24.83428601696232,24.83428601696232
204,24.619870200263993,24.619870200263993
205,24.407974604843105,24.407974604843105
206,24.198562178445428,24.198562178445428
207,23.991596527036812,23.991596527036812
208,23.787041901293943,23.787041901293943
209,23.584863183401712,23.584863183401712
210,23.385025874149143,23.385025874149143
211,23.187496080317448,23.187496080317448
212,22.992240502352587,22.992240502352587
213,22.79922642231594,22.79922642231594
214,22.60842169210606,22.60842169210606
215,22.419794721945202,22.419794721945202
216,22.233314469124487,22.233314469124487
217,22.048950427000964,22.048950427000964
218,21.86667261424094,21.86667261424094
219,21.68645156430383,21.68645156430383
220,21.508258315160266,21.508258315160266
221,21.332064399239368,21.332064399239368
222,21.157841833599466,21.157841833599466
223,20.985563110317,20.985563110317
224,20.815201187088327,20.815201187088327
225,20.646729478039653,20.646729478039653
226,20.480121844739738,20.480121844739738
227,20.315352587410892,20.315352587410892
228,20.152396436333312,20.152396436333312
229,19.991228543438464,19.991228543438464
230,19.831824474086602,19.831824474086602
231,19.67416019902469,19.67416019902469
232,19.5182120865197,19.5182120865197
233,19.363956894663858,19.363956894663858
234,19.211371763847257,19.211371763847257
235,19.060434209394174,19.060434209394174
236,18.911122114359408,18.911122114359408
237,18.763413722480003,18.763413722480003
238,18.61728763128008,18.61728763128008
239,18.472722785323917,18.472722785323917
240,18.329698469614414,18.329698469614414
241,18.188194303133766,18.188194303133766
242,18.0481902325222,18.0481902325222
243,17.9096665258923,17.9096665258923
244,17.772603766775585,17.772603766775585
245,17.636982848198134,17.636982848198134
246,17.50278496688193,17.50278496688193
247,17.369991617569973,17.369991617569973
248,17.238584587471113,17.238584587471113
249,17.108545950822847,17.108545950822847
250,16.979858063568425,16.979858063568425
251,16.8525035581465,16.8525035581465
252,16.72646533839005,16.72646533839005
253,16.60172657453238,16.60172657453238
254,16.478270698317733,16.478270698317733
255,16.35608139821387,16.35608139821387
256,16.235142614724534,16.235142614724534
257,16.115438535799456,16.115438535799456
258,15.996953592339604,15.996953592339604
259,15.879672453795322,15.879672453795322
260,15.763580023855807,15.763580023855807
261,15.64866143622714,15.64866143622714
262,15.53490205049727,15.53490205049727
263,15.42228744808599,15.42228744808599
264,15.310803428277719,15.310803428277719
265,15.200436004335495,15.200436004335495
266,15.091171399694147,15.091171399694147
267,14.98299604423099,14.98299604423099
268,14.875896570611967,14.875896570611967
269,14.76985981071232,14.76985981071232
270,14.664872792109056,14.664872792109056
271,14.560922734644432,14.560922734644432
272,14.45799704705862,14.45799704705862
273,14.35608332368973,14.35608332368973
274,14.255169341240054,14.255169341240054
275,14.155243055607048,14.155243055607048
276,14.0562925987772,14.0562925987772
277,13.958306275781942,13.958306275781942
278,13.861272561713776,13.861272561713776
279,13.76518009880166,13.76518009880166
280,13.67001769354388,13.67001769354388
281,13.575774313897735,13.575774313897735
282,13.482439086524234,13.482439086524234
283,13.390001294086991,13.390001294086991
284,13.298450372603783,13.298450372603783
285,13.207775908850053,13.207775908850053
286,13.117967637812754,13.117967637812754
287,13.029015440193882,13.029015440193882
288,12.940909339962108,12.940909339962108
289,12.853639501952156,12.853639501952156
290,12.767196229510017,12.767196229510017
291,12.68156996218401,12.68156996218401
292,12.59675127345968,12.59675127345968
293,12.512730868538464,12.512730868538464
294,12.429499582158586,12.429499582158586
295,12.347048376457625,12.347048376457625
296,12.265368338875634,12.265368338875634
297,12.18445068009818,12.18445068009818
298,12.10428673203816,12.10428673203816
299,12.024867945855815,12.024867945855815
300,11.946185890016102,11.946185890016102
301,11.868232248382517,11.868232248382517
302,11.790998818346598,11.790998818346598
303,11.714477508992584,11.714477508992584
304,11.638660339296141,11.638660339296141
305,11.563539436356717,11.563539436356717
306,11.489107033662782,11.489107033662782
307,11.415355469389047,11.415355469389047
308,11.34227718472535,11.34227718472535
309,11.26986472223625,11.26986472223625
310,11.198110724250666,11.198110724250666
311,11.127007931281412,11.127007931281412
312,11.056549180473356,11.056549180473356
313,10.986727404080119,10.986727404080119
314,10.917535627968315,10.917535627968315
315,10.848966970149311,10.848966970149311
316,10.7810146393372,10.7810146393372
317,10.713671933533279,10.713671933533279
318,10.646932238635731,10.646932238635731
319,10.580789027074614,10.580789027074614
320,10.515235856471156,10.515235856471156
321,10.450266368321211,10.450266368321211
322,10.385874286702148,10.385874286702148
323,10.322053417002952,10.322053417002952
324,10.258797644676772,10.258797644676772
325,10.196100934015687,10.196100934015687
326,10.133957326947158,10.133957326947158
327,10.072360941851732,10.072360941851732
328,10.011305972401631,10.011305972401631
329,9.950786686419661,9.950786686419661
330,9.890797424758262,9.890797424758262
331,9.83133260019814,9.83133260019814
332,9.772386696366025,9.772386696366025
333,9.713954266671465,9.713954266671465
334,9.656029933261877,9.656029933261877
335,9.598608385995973,9.598608385995973
336,9.541684381434711,9.541684381434711
337,9.485252741849774,9.485252741849774
338,9.429308354249143,9.429308354249143
339,9.373846169419297,9.373846169419297
340,9.318861200983914,9.318861200983914
341,9.264348524478692,9.264348524478692
342,9.210303276441811,9.210303276441811
343,9.156720653520058,9.156720653520058
344,9.10359591158994,9.10359591158994
345,9.050924364893875,9.050924364893875
346,8.99870138519076,8.99870138519076
347,8.946922400921078,8.946922400921078
348,8.895582896385969,8.895582896385969
349,8.844678410939952,8.844678410939952
350,8.794204538197343,8.794204538197343
351,8.744156925251875,8.744156925251875
352,8.694531271909261,8.694531271909261
353,8.64532332993262,8.64532332993262
354,8.596528902300328,8.596528902300328
355,8.548143842476197,8.548143842476197
356,8.500164053691673,8.500164053691673
357,8.452585488240006,8.452585488240006
358,8.405404146781754,8.405404146781754
359,8.358616077661965,8.358616077661965
360,8.312217376238321,8.312217376238321
361,8.266204184220385,8.266204184220385
362,8.220572689019471,8.220572689019471
363,8.175319123109379,8.175319123109379
364,8.130439763396975,8.130439763396975
365,8.085930930603592,8.085930930603592
366,8.041788988655833,8.041788988655833
367,7.998010344086623,7.998010344086623
368,7.954591445445688,7.954591445445688
369,7.911528782719449,7.911528782719449
370,7.8688188867603275,7.8688188867603275
371,7.8264583287250655,7.8264583287250655
372,7.784443719522131,7.784443719522131
373,7.742771709267552,7.742771709267552
374,7.701438986749972,7.701438986749972
375,7.660442278903566,7.660442278903566
376,7.619778350289691,7.619778350289691
377,7.57944400258649,7.57944400258649
378,7.539436074086625,7.539436074086625
379,7.499751439202774,7.499751439202774
380,7.460387007981105,7.460387007981105
381,7.421339725621988,7.421339725621988
382,7.382606572008535,7.382606572008535
383,7.34418456124221,7.34418456124221
384,7.306070741185842,7.306070741185842
385,7.268262193013496,7.268262193013496
386,7.230756030767521,7.230756030767521
387,7.193549400922259,7.193549400922259
388,7.156639481954568,7.156639481954568
389,7.1200234839208605,7.1200234839208605
390,7.083698648040714,7.083698648040714
391,7.047662246286736,7.047662246286736
392,7.011911580980731,7.011911580980731
393,6.976443984396065,6.976443984396065
394,6.9412568183659555,6.9412568183659555
395,6.906347473897857,6.906347473897857
396,6.871713370793409,6.871713370793409
397,6.837351957274541,6.837351957274541
398,6.803260709614642,6.803260709614642
399,6.769437131775933,6.769437131775933
400,6.73587875505165,6.73587875505165
401,6.702583137713959,6.702583137713959
402,6.669547864667059,6.669547864667059
403,6.636770547105384,6.636770547105384
404,6.604248822176894,6.604248822176894
405,6.571980352651438,6.571980352651438
406,6.539962826594023,6.539962826594023
407,6.508193957042738,6.508193957042738
408,6.476671481691644,6.476671481691644
409,6.445393162578214,6.445393162578214
410,6.414356785775401,6.414356785775401
411,6.383560161088226,6.383560161088226
412,6.353001121754714,6.353001121754714
413,6.322677524151304,6.322677524151304
414,6.292587247502519,6.292587247502519
415,6.262728193594849,6.262728193594849
416,6.233098286494671,6.233098286494671
417,6.203695472270565,6.203695472270565
418,6.174517718719182,6.174517718719182
419,6.145563015095499,6.145563015095499
420,6.116829371846706,6.116829371846706
421,6.0883148203499005,6.0883148203499005
422,6.060017412653801,6.060017412653801
423,6.0319352212238195,6.0319352212238195
424,6.004066338690924,6.004066338690924
425,5.976408877604122,5.976408877604122
426,5.948960970186396,5.948960970186396
427,5.921720768094062,5.921720768094062
428,5.89468644217973,5.89468644217973
429,5.867856182258299,5.867856182258299
430,5.84122819687655,5.84122819687655
431,5.8148007130857815,5.8148007130857815
432,5.788571976217756,5.788571976217756
433,5.7625402496637,5.7625402496637
434,5.736703814656491,5.736703814656491
435,5.711060970055742,5.711060970055742
436,5.685610032136081,5.685610032136081
437,5.660349334378152,5.660349334378152
438,5.635277227262696,5.635277227262696
439,5.610392078067401,5.610392078067401
440,5.58569227066657,5.58569227066657
441,5.561176205333495,5.561176205333495
442,5.536842298545738,5.536842298545738
443,5.512688982792846,5.512688982792846
444,5.488714706386878,5.488714706386878
445,5.464917933275494,5.464917933275494
446,5.441297142857429,5.441297142857429
447,5.417850829800864,5.417850829800864
448,5.394577503863789,5.394577503863789
449,5.371475689717221,5.371475689717221
450,5.348543926770579,5.348543926770579
451,5.325780768999422,5.325780768999422
452,5.3031847847757225,5.3031847847757225
453,5.280754556700238,5.280754556700238
454,5.258488681437102,5.258488681437102
455,5.236385769550808,5.236385769550808
456,5.2144444453453,5.2144444453453
457,5.192663346705096,5.192663346705096
458,5.171041124938823,5.171041124938823
459,5.149576444624473,5.149576444624473
460,5.12826798345709,5.12826798345709
461,5.107114432098135,5.107114432098135
462,5.086114494027096,5.086114494027096
463,5.0652668853949345,5.0652668853949345
464,5.044570334879538,5.044570334879538
465,5.024023583542964,5.024023583542964
466,5.003625384690774,5.003625384690774
