beta,mse
0.1,1.8994489348084678
0.4,1.8618473304843204
0.7,1.86214045566878
1,1.8633398138323887
2.5,10.66726949661398
5,175.18275176180117
10,537.1715495380902
20,1430.8657029491383
50,1551.5519463571425
100,2306.925030356563
