epoch,trainingMSE,stdTrainingMSE,testingMSE,stdTestingMSE
0,1827.2016412206488,712.0032398063527,1696.8343128442807,776.7567634468897
1,1756.404699521497,706.8925483104457,1639.3772044059328,766.7086708748601
2,1681.513984417282,699.7172620394517,1578.7413888737706,755.1406431158243
3,1602.5185057805245,690.3960553162476,1514.5386636124367,742.8136476583696
4,1519.6003842872428,678.802300640301,1446.8711005929092,730.6180324074571
5,1432.7376068016347,664.7376262896756,1376.2151983721299,719.1998789001017
6,1341.5353716653694,647.8455866799787,1302.9674334149915,708.9069410148602
7,1245.4441033361727,627.7368992137489,1227.3258484592134,700.1931090633886
8,1144.5054596061848,605.5602001419549,1150.023951453249,693.8821504222349
9,1043.0132866080455,585.9985289584088,1073.8680300221502,690.4248136932912
10,952.2504419008421,571.7715418032477,1004.0765026788685,688.1799481262021
11,878.5707042598161,558.3826421420627,943.8253794372857,684.3138658488178
12,817.7230771862572,541.9235195686813,891.6900551190531,677.5825318656945
13,764.3063669203101,520.7435310143542,845.2243737682263,667.7144462354875
14,714.7478625008623,493.28501083141526,802.6562643105374,654.3646698995178
15,666.385710483811,457.22093748748904,762.7017257552609,636.9020815908041
16,616.9446898567995,409.8063998882582,724.329460821128,614.5511561257756
17,565.6799336038214,351.3418267439936,686.9253511894622,587.1323635989957
18,516.1518997044233,291.57955173657825,650.947824157631,556.6950333485627
19,473.6949737352309,243.27365525821259,617.7986154442509,527.2316067537081
20,438.714554603836,207.51665125387595,588.0124122721862,500.5615913090267
21,409.11672973679043,180.0218696665979,561.2055529107232,476.2601400931559
22,383.5050739109157,158.03992671881417,537.0032997353882,453.81742843275805
23,361.23635291396795,140.3165910789137,515.1853614395981,433.0562343150886
24,341.98325321511,126.19036369773353,495.57361114283776,413.9765342223283
25,325.4630619775654,115.1251753519651,477.9544830720714,396.619993000517
26,311.3362237889359,106.57134268785154,462.07325282504627,380.99800165806056
27,299.21798565592843,99.983228901744,447.67048706585234,367.06257197602696
28,288.73062883070986,94.87158273817043,434.51791185813335,354.7073251796859
29,279.54417542970543,90.83580609948002,422.43275408683115,343.7859596540429
30,271.3913798821265,87.56929419689818,411.2741910450108,334.13459610371194
31,264.06470903937816,84.84813223579013,400.93296138239396,325.5894734010531
32,257.4059266874179,82.51372486803794,391.32139104739366,317.9977724506338
33,251.2947476088821,80.4557479652304,382.3662237278653,311.22276456527214
34,245.639166345105,78.59810325200877,374.004138710237,305.1452685258879
35,240.3680087928282,76.88837204905758,366.1791430900838,299.6630512083595
36,235.4254570227692,75.29030969210703,358.84108715548547,294.6892486909993
37,230.76710269511028,73.77866712559529,351.9447905495029,290.1504381409456
38,226.35711542355708,72.33567761826362,345.44947652722925,285.9846978940376
39,222.16620266088154,70.94869082087527,339.31835211927506,282.1398182935573
40,218.1701261111686,69.60858127086621,333.51825475325376,278.57172757760816
41,214.3486096237721,68.3086744675091,328.0193305029826,275.24314494445014
42,210.68452428803445,67.044017805295,322.7947312885541,272.1224473605196
43,207.16327183334053,65.81088166019346,317.82032824710353,269.1827259016976
44,203.77231165570967,64.60641480722565,313.07444215939046,266.4010045171897
45,200.50079326380248,63.42840403801014,308.537592576904,263.75759512388447
46,197.33926715606145,62.275104713752306,304.19226687730276,261.2355656803611
47,194.27945482889692,61.14512005188379,300.0227097219255,258.82030117884585
48,191.31406393329445,60.037314218817116,296.0147326656748,256.4991407385938
49,188.43663831615822,58.95074910800403,292.15554310833494,254.2610769178001
50,185.64143531556607,57.88463787953144,288.4335913990455,252.09650588974347
51,182.92332456676803,56.838310480184084,284.8384346890666,249.99701924719474
52,180.2777039463295,55.81118781098972,281.3606160356779,247.95522994267714
53,177.70042928925866,54.80276219653841,277.991557256199,245.96462629154638
54,175.18775526324694,53.812582489561954,274.7234640857468,244.01944911265701
55,172.73628534767616,52.840242615781555,271.54924228245073,242.1145880062131
56,170.342929293306,51.88537269435626,268.4624234327825,240.2454935124029
57,168.00486676719706,50.947632102757474,265.45709932595537,238.40810249295853
58,165.71951614192238,50.02670402140104,262.5278638824357,236.59877455979793
59,163.48450758685433,49.12229111312184,259.6697617328109,234.81423776381848
60,161.29765977573874,48.234112079435576,256.87824264687833,233.0515420714586
61,159.15695964877824,47.36189889903711,254.14912110754543,231.308019411772
62,157.06054476644593,46.50539460078449,251.47854040953862,229.58124928433088
63,155.00668787177912,45.664351458166635,248.8629407391537,227.8690290877074
64,152.9937833421836,44.83852951824404,246.29903075882658,226.1693484670563
65,151.02033526402536,44.027695397628904,243.78376227981886,224.48036709336634
66,149.08494690597902,43.23162129291865,241.31430765855393,222.80039538099507
67,147.18631140216934,42.450084164331145,238.8880395978414,221.12787772791887
68,145.32320348507838,41.68286505999689,236.50251307415732,219.4613779277327
69,143.4944721321825,40.92974855509297,234.15544914695548,217.79956645623898
70,141.69903401025599,40.190522285235765,231.84472043633417,216.14120938042726
71,139.9358676179818,39.46497655764026,229.56833808180642,214.48515867531975
72,138.20400804152507,38.752904026769684,227.32444001795298,212.83034376583677
73,136.50254224953838,38.05409942374132,225.11128042279435,211.1757641375384
74,134.8306048640529,37.3683593307724,222.92722021221593,209.5204828826728
75,133.18737435218534,36.69548199356316,220.7707184690295,207.8636210670984
76,131.57206959080222,36.035267165804534,218.64032470858598,206.2043528199163
77,129.9839467624459,35.38751598104153,216.53467189449083,204.5419010615017
78,128.42229654610207,34.7520308479648,214.45247012816046,202.8755337974637
79,126.88644157092259,34.128615365887946,212.39250094488293,201.20456091619502
80,125.37573410492236,33.51707425772729,210.35361215686103,199.52833143636386
81,123.88955395404278,32.91721331825886,208.33471319059066,197.84623115817482
82,122.42730654989586,32.328839375803206,206.33477087195655,196.157680678659
83,120.98842120703924,31.75176026580003,204.35280561774468,194.4621337368065
84,119.57234953284004,31.185784814992143,202.38788799694385,192.75907585914328
85,118.17856397491184,30.630722835151563,200.43913562934122,191.048023280504
86,116.80655649279086,30.086385125459675,198.50571039255576,189.3285221183288
87,115.45583734199577,29.55258348280212,196.58681591187263,187.60014778190993
88,114.12593395990713,29.029130719363685,194.6816953100874,185.86250460068524
89,112.81638994404611,28.515840687014826,192.78962919708286,184.11522565797438
90,111.5267641143332,28.012528308067708,190.90993388108373,182.3579728185169
91,110.25662965179889,27.519009612055594,189.0419597855001,180.59043693985126
92,109.0055733070001,27.035101778251267,187.18509005700085,178.8123382589706
93,107.77319467209561,26.560623183692073,185.33873935198258,177.02342694685777
94,106.55910551114951,26.095393456523425,183.50235278993563,175.22348382442948
95,105.3629291437834,25.63923353450778,181.67540506337286,173.41232123414025
96,104.1842998777856,25.19196572857601,179.85739969499505,171.58978406200612
97,103.02286248672455,24.753413791319733,178.04786843362743,169.75575090511893
98,101.87827172900138,24.32340299034157,176.24637078118965,167.91013537983335
99,100.7501919051251,23.90176018639041,174.45249364355632,166.0528875657212
100,99.6382964503053,23.48831391621662,172.6658510986414,164.18399558009386
101,98.54226755973438,23.08289448008064,170.88608427539563,162.3034872773991
102,97.46179584417925,22.685334033846235,169.1128613376438,160.41143206707585
103,96.39658001372347,22.295466685577146,167.34587756681938,158.5079428425187
104,95.34632658769782,21.91312859654056,165.58485553766414,156.59317801262284
105,94.31074962900973,21.538158086497816,163.82954538086418,154.66734362596688
106,93.2895705012369,21.17039574313266,162.07972512638256,152.73069557601275
107,92.28251764698277,20.809684535431355,160.3352011209251,150.78354187376664
108,91.28932638610902,20.4558699307826,158.59580851253978,148.82624497213163
109,90.30973873255608,20.10880001551332,156.8614117948009,146.85922412369177
110,89.34350322854709,19.768325618513515,155.13190540236937,144.88295775089625
111,88.39037479503547,19.434300437530982,153.40721434894763,142.89798580455775
112,87.45011459730672,19.106581167636804,151.68729489777294,140.90491208325932
113,86.52248992468037,18.785027631268637,149.97213525381522,138.9044064826812
114,85.6072740832783,18.46950290915859,148.2617562657726,136.89720714005335
115,84.70424630083191,18.159873471339377,146.5562121248092,134.88412243493372
116,83.81319164249022,17.85600930730064,144.85559104575978,132.86603280336934
117,82.9339009365693,17.557784054236656,143.16001591525654,130.84389231827078
118,82.06617070914645,17.26507512218835,141.46964488994576,128.81872998461867
119,81.20980312635186,16.97776381473786,139.7846719266689,126.79165069401205
120,80.36460594314954,16.695735443765997,138.1053272252372,124.76383577920446
121,79.5303924573254,16.418879436635443,136.4318775632523,122.73654310579346
122,78.70698146731797,16.147089434016696,134.76462650137995,120.71110663531569
123,77.89419723243692,15.88026337643833,133.1039144366082,118.6889353918497
124,77.09186943392014,15.618303577519384,131.45011848038556,116.67151176307132
125,76.29983313518157,15.361116781738936,129.8036521381848,114.66038906678706
126,75.51792873950967,15.108614204522155,128.1649647670603,112.65718831555897
127,74.74600194338477,14.860711552381394,126.53454078820833,110.66359411541222
128,73.98390368350978,14.617329020851725,124.91289863248609,108.68134964006055
129,73.2314900755862,14.378391268015887,123.30058939834797,106.71225062988093
130,72.48862234283402,14.143827361525288,121.69819520378879,104.75813837526967
131,71.75516673224666,13.913570697206765,120.10632721668364,102.8208916572288
132,71.03099441660564,13.687558887600218,118.52562335142615,100.9024176342258
133,70.31598138035574,13.465733619108708,116.95674562400974,99.00464168360966
134,69.6100082875703,13.24804047686186,115.40037716266724,97.12949622811018
135,68.91296033042164,13.03442873689622,113.85721887685487,95.27890860302409
136,68.22472705682057,12.824851125838261,112.32798579367999,93.45478804725745
137,67.54520217620309,12.61926354893138,110.81340307773519,91.65901193092662
138,66.87428334282426,12.41762478796373,109.31420175759338,89.8934113629936
139,66.21187191636714,12.219896171414872,107.8311141897699,88.15975635349051
140,65.55787270018301,12.02604121992162,106.36486929858526,86.45974073512873
141,64.91219365804257,11.836025270946148,104.91618763783056,84.79496707717487
142,64.27474561088304,11.649815087277954,103.48577632720637,83.16693184893258
143,63.64544191566665,11.467378454688376,102.07432392290401,81.57701110945905
144,63.02419812910667,11.288683774646788,100.68249528716136,80.0264470127121
145,62.41093165964313,11.113699658469185,99.3109265258848,78.51633542172344
146,61.805561411636994,10.942394529573345,97.96022006624536,77.0476149203932
147,61.20800742627559,10.774736240635644,96.63093994732073,75.62105749619731
148,60.61819052411523,10.610691712361197,95.32360739620574,74.23726114104602
149,60.036031954504516,10.45022660028628,94.03869675945283,72.89664458082395
150,59.46145305731365,10.293304995524538,92.77663185520714,71.59944429749685
151,58.89437494242101,10.139889164659364,91.53778280501002,70.34571395244124
152,58.33471819226774,9.989939333094867,90.32246339610495,69.13532625782416
153,57.78240259247895,9.843413515135925,89.13092901538668,67.96797727692825
154,57.23734689506963,9.700267392915672,87.96337518518514,66.84319306720724
155,56.6994686181127,9.560454245070622,86.81993671920006,65.76033851467676
156,56.16868388497054,9.423924924828837,85.70068750450375,64.7186281481277
157,55.6449073052993,9.290627885977093,84.60564090300852,63.71713866947944
158,55.128051899065454,9.16050925405389,83.5347507535834,62.754822894819306
159,54.61802906380075,9.033512939121486,82.48791294450295,61.83052477113218
160,54.114748584303875,8.909580785635777,81.46496751548732,60.94299511746978
161,53.618118683016974,8.788652754282818,80.46570123956583,60.09090773661892
162,53.12804610839634,8.670667130201663,79.48985062761042,59.272875553646955
163,52.64443625779629,8.555560751766512,78.53710529281703,58.48746645977878
164,52.167193330717396,8.443269254054782,77.60711160873932,57.73321857203392
165,51.696220507757964,8.333727321262629,76.69947659272259,57.00865465867266
166,51.23142015025978,8.226868942626114,75.8137719466561,56.31229552527107
167,50.77269401546353,8.122627666836538,74.94953818874238,55.64267220366671
168,50.3199434819764,8.020936850471672,74.10628881325792,54.99833683370609
169,49.87306978049838,7.921729896568786,73.28351441983575,54.377872173600416
170,49.43197422503228,7.824940480111428,72.48068675935873,53.77989971703001
171,48.99655844019803,7.730502757859619,71.69726264985461,53.20308643265189
172,48.56672458075473,7.638351560599282,70.93268772255082,52.646150173506626
173,48.14237553998335,7.548422566500396,70.18639996522862,52.10786382956677
174,47.72341514416762,7.460652454837914,69.45783303697894,51.58705831626641
175,47.30974833101044,7.374979039835224,68.74641933520626,51.082624505548445
176,46.90128131041248,7.291341384827957,68.05159280208689,50.5935142142558
177,46.49792170660226,7.209679897314694,67.3727914635344,50.11874036821325
178,46.099578681126275,7.12993640575962,66.70945969896748,49.65737645984482
179,45.70616303667252,7.052054219242778,66.06105024475626,49.20855541340894
180,45.31758730210502,6.975978171223344,65.42702593811508,48.77146796567519
181,44.93376579942443,6.901654648791505,64.80686121141588,48.34536066180523
182,44.554614693641504,6.829031608847776,64.20004334943788,47.929533556978235
183,44.18005202675795,6.758058582666588,63.6060735239871,47.52333770444839
184,43.8099977371946,6.688686670284979,63.024467621666574,47.12617250069157
185,43.444373666100034,6.620868526111707,62.454756881415676,46.7374829484431
186,43.0831035520133,6.554558337084444,61.896488358829465,46.35675688901125
187,42.72611301535748,6.489711794619111,61.34922523428473,45.98352224647331
188,42.373329534206235,6.426286061499458,60.81254698160233,45.61734431832959
189,42.02468241270446,6.364239734753742,60.28604941342544,45.25782313998706
190,41.68010274344327,6.303532805459511,59.76934461875347,44.90459094408641
191,41.339523364991905,6.2441266163129185,59.262060807184355,44.557309730159595
192,41.0028788156835,6.1859838176959165,58.76384207343556,44.21566895538084
193,40.67010528464002,6.129068322876616,58.274348094672725,43.879383353194214
194,40.34114056090982,6.073345262885571,57.79325377210545,43.54819088330139
195,40.01592398148032,6.018780941524843,57.32024882724079,43.22185081380883
196,39.69439637882238,5.965342790888212,56.855037362138724,42.9001419341875
197,39.37650002852309,5.912999327699703,56.39733739200141,42.58286089602267
198,39.06217859747039,5.861720110714811,55.946880357470185,42.269820677263596
199,38.75137709296884,5.811475699372121,55.50341062309933,41.96084916475183
200,38.444041813089065,5.76223761383514,55.06668496763914,41.655787849168256
201,38.14012029848625,5.7139782965213115,54.63647207098573,41.35449062612987
202,37.83956128586287,5.666671075180162,54.21255200195166,41.056822696955216
203,37.54231466320017,5.620290127552033,53.79471571037162,40.76265956255465
204,37.24833142683841,5.574810447614036,53.382764526482056,40.471886103960024
205,36.957563640448704,5.530207813400044,52.976509670001484,40.18439574315844
206,36.66996439590946,5.486458756364736,52.575771770882604,39.90008967811458
207,36.385487776073504,5.443540532249753,52.18038040330452,39.6188761861313
208,36.104088819393496,5.401431093400023,51.79017363412442,39.34066999000167
209,35.825723486356516,5.360109062471768,51.40499758669984,39.06539168172382
210,35.550348627666594,5.319553707468814,51.02470602072875,38.79296719888253
211,35.2779219541058,5.279744918041507,50.649159928528675,38.523327349133304
212,35.00840200799754,5.240663182980399,50.2782271479807,38.25640737855282
213,34.74174813619278,5.202289568837764,49.911781992201796,37.992146579940446
214,34.47792046449761,5.16460569961039,49.54970489587146,37.73048793746085
215,34.216879873459995,5.1275937374189695,49.19188207802413,37.47137780431247
216,33.95858797543484,5.091236364121712,48.83820522102606,37.21476561038152
217,33.703007092848296,5.055516763802483,48.48857116538041,36.96060359710248
218,33.450100237584145,5.020418606076666,48.14288161994254,36.70884657698676
219,33.19983109141917,4.985926030161465,47.801042887082914,36.45945171550806
220,32.952163987437004,4.952023629659965,47.46296560229931,36.21237833324032
221,32.707063892354014,4.918696438012402,47.12856448775431,35.96758772633632
222,32.46449638969495,4.885929914570471,46.7977581191984,35.72504300361139
223,32.22442766375897,4.853709931254311,46.4704687057288,35.48470893865951
224,31.986824484321676,4.822022759754407,46.146621881830605,35.24655183557452
225,31.751654192021782,4.790855059243796,45.82614651114803,35.01053940698612
226,31.518884684384975,4.76019386456853,45.50897450143913,34.77664066324235
227,31.288484402440897,4.730026574887078,45.19504063017586,34.54482581168127
228,31.060422317892723,4.700340942731679,44.88428238026319,34.31506616503681
229,30.834667920801913,4.671125063466766,44.57663978536366,34.08733405811467
230,30.61119120775325,4.642367365121825,44.27205528432982,33.86160277195798
231,30.3899626704689,4.614056598578029,43.9704735842631,33.63784646479724
232,30.170953284841904,4.586181828089363,43.67184153173416,33.416040109147325
233,29.954134500362578,4.558732422120805,43.3761079917197,33.1961594344757
234,29.73947822991308,4.531698044487882,43.08322373382624,32.978180874921705
235,29.526956839907736,4.505068645782267,42.79314132539195,32.76208152159622
236,29.316543140758363,4.4788344550706825,42.50581503107504,32.54783907903753
237,29.108210377645655,4.452985971853979,42.22120071855538,32.33543182543842
238,28.901932221579198,4.427513958275579,41.93925576999427,32.124838576297705
239,28.6976827607304,4.402409431568257,41.6599389989146,31.91603865118182
240,28.495436492023224,4.377663656729725,41.38321057218034,31.70901184331177
241,28.295168312969768,4.3532681394179775,41.10903193677246,31.503738391719324
242,28.096853513738,4.329214619057989,40.83736575107182,31.3001989557382
243,27.900467769440326,4.305495062151765,40.56817582037768,31.09837459162043
244,27.705987132632504,4.28210165578478,40.301427036403766,30.898246731085965
245,27.513388026013217,4.259026801321655,40.037085320508545,30.699797161633136
246,27.322647235315348,4.236263108284803,39.775117570430325,30.50300800845217
247,27.13374190238054,4.213803388409993,39.51549161031016,30.30786171779957
248,26.94664951840962,4.191640649873101,39.258176143798856,30.114341041704407
249,26.76134791738141,4.169768091682587,39.00314071005591,29.922429023888682
250,26.577815269633565,4.148179098232814,38.75035564245858,29.73210898679509
251,26.396030075598983,4.126867234012841,38.499792029852,29.543364519625918
252,26.21597115969232,4.1058262384667605,38.25142168017955,29.35617946730427
253,26.037617664340818,4.08505002100034,38.00521708634291,29.170537920278075
254,25.860949044154633,4.064532656130374,37.761151394151135,28.98642420509342
255,25.685945060231813,4.044268378772153,37.519198372225155,28.80382287567176
256,25.512585774593468,4.024251579661496,37.27933238373398,28.62271870522939
257,25.340851544744726,4.004476800907262,37.04152835984503,28.443096678785295
258,25.170723018357773,3.9849387316708547,36.80576177477939,28.264941986206633
259,25.002181128072866,3.9656322039690735,36.572008622368905,28.08824001574583
260,24.835207086413995,3.946552188596987,36.34024539401899,27.9129763480287
261,24.669782380815633,3.927693791167447,36.11044905798691,27.739136750454286
262,24.50588876875722,3.9090522482639227,35.88259703989024,27.566707171972297
263,24.343508273002673,3.890622923703732,35.65666720436748,27.39567373820675
264,24.182623176941508,3.8724013049084824,35.432637837815456,27.226022746895996
265,24.023216020028965,3.854382999378868,35.210487632134964,27.057740663623715
266,23.86526959332257,3.836563731270738,34.99019566941921,26.89081411781601
267,23.708766935112155,3.818939338069993,34.77174140752408,26.72522989898269
268,23.553691326641303,3.801505767363147,34.55510466646404,26.56097495318265
269,23.400026287917438,3.784259073701365,34.340265615579696,26.398036379694947
270,23.24775557360846,3.767195415554996,34.1272047614276,26.236401427878487
271,23.096863169023713,3.7503110523562686,33.915902936346015,26.076057494205003
272,22.947333286177052,3.7336023416277855,33.7063412876526,25.916992119451297
273,22.799150359930017,3.7170657361940833,33.49850126743382,25.759192986037572
274,22.65229904421309,3.7006977814743536,33.292364622887774,25.602647915500306
275,22.50676420832315,3.6844951128538086,33.087913387185296,25.447344866088688
276,22.36253093329524,3.668454453131351,32.88512987081573,25.293271930474585
277,22.219584508346788,3.65257261004178,32.68399665338652,25.14041733356737
278,22.077910427392624,3.6368464738500053,32.48449657584807,24.988769430424874
279,21.93749438562921,3.621273015015524,32.286612733116016,24.838316704253096
280,21.798322276186045,3.605849281924975,32.09032846706659,24.68904776448767
281,21.660380186843167,3.590572398690995,31.89562735988063,24.540951344950674
282,21.523654396812827,3.575439563015161,31.702493227714637,24.39401630207703
283,21.38813137358405,3.56044804411369,31.510910114678463,24.24823161320509
284,21.253797769828513,3.545595180703487,31.32086228709993,24.10358637492639
285,21.120640420366364,3.5308783790473477,31.132334228058948,23.96006980149047
286,20.988646339190748,3.516295111056175,30.945310632173914,23.817671223260376
287,20.857802716549408,3.5018429124468224,30.75977640062514,23.676380085214866
288,20.728096916082286,3.487519380953814,30.575716636400497,23.53618594549463
289,20.59951647201394,3.4733221745934197,30.39311663974964,23.39707847398843
290,20.472049086399238,3.4592490099785715,30.211961903834343,23.259047450957283
291,20.345682626421457,3.445297660683022,30.032238110562563,23.12208276569299
292,20.220405121741432,3.431465955653457,29.853931126595604,22.986174415209582
293,20.096204761896676,3.4177517776680633,29.677026999517928,22.851312502964912
294,19.973069893749397,3.4041530618401725,29.50151195415956,22.717487237610495
295,19.850989018982343,3.3906677941656342,29.327372389062766,22.584688931767836
296,19.7299507916413,3.377294010112739,29.154594873083738,22.452908000829478
297,19.60994401572346,3.3640297932532905,28.983166142121995,22.322134961783174
298,19.490957642810454,3.350873273933739,28.813073095970147,22.192360432058173
299,19.372980769745215,3.3378226279850103,28.644302795276644,22.06357512839159
300,19.25600263635157,3.324876075470116,28.47684245861554,21.935769865714555
301,19.140012623195922,3.312031879468161,28.310679459657248,21.80893555605626
302,19.02500024938983,3.2992883448939305,28.145801324434405,21.683063207465647
303,18.910955170432725,3.286643817351718,27.982195728697793,21.5581439229492
304,18.79786717609407,3.2740966820226376,27.819850495357596,21.434168899424524
305,18.68572618833378,3.261645362584201,27.6587535920049,21.31112942668862
306,18.574522259260487,3.249288320161371,27.498893128509817,21.18901688640048
307,18.464245569126575,3.237024052308014,27.340257354691488,21.067822751077074
308,18.354886424359286,3.2248510920178983,27.182834658057082,20.94753858310249
309,18.246435255627294,3.2127680067643727,27.026613561605398,20.82815603374918
310,18.138882615941693,3.200773397567884,26.871582721692487,20.709666842211753
311,18.032219178791095,3.1888658980903615,26.71773092595584,20.592062834651745
312,17.926435736309735,3.1770441737559025,26.565047091294257,20.475335923253905
313,17.821523197478218,3.1653069208966658,26.413520261901308,20.359478105293267
314,17.71747258635603,3.1536528659235468,26.263139607348624,20.244481462212477
315,17.614275040345245,3.142080764520594,26.113894420718243,20.130338158709627
316,17.51192180848486,3.13058940086273,25.965774116780267,20.01704044183573
317,17.41040424977495,3.1191775868558134,25.818768230214953,19.904580640102083
318,17.309713831530267,3.1078441613985484,25.67286641387642,19.7929511625968
319,17.209842127762503,3.096587989665597,25.52805843709687,19.682144498110805
320,17.110780817590765,3.085407962411073,25.384334184028916,19.572153214272824
321,17.01252168367954,3.074302995292092,25.241683652024882,19.462969956693176
322,16.915056610703864,3.0632720282114323,25.100096950051512,19.354587448116177
323,16.818377583840878,3.0523140246791454,24.959564297138392,19.246998487581532
324,16.722476687287376,3.041427971192177,24.820076020859,19.140195949593515
325,16.627346102802836,3.0306128766316025,24.681622555843003,19.034172783299
326,16.532978108277423,3.019867771677086,24.544194442318656,18.928922011673393
327,16.439365076324414,3.0091917082378257,24.407782324684206,18.824436730714694
328,16.34649947289667,2.9985837588995636,24.27237695010722,18.720710108645605
329,16.254373855926577,2.988043016387404,24.137969167150693,18.617735385123503
330,16.162980873989035,2.9775685930434825,24.004549924425458,18.515505870458156
331,16.072313264987148,2.967159620319627,23.87211026926724,18.414014944837326
332,15.982363854859964,2.9568152482840784,23.740641346438334,18.313256057559702
333,15.893125556311983,2.9465346451421714,23.610134396852626,18.21322272627592
334,15.804591367564123,2.93631699677036,23.480580756323373,18.11390853623657
335,15.716754371125395,2.926161506263364,23.351971854332856,18.01530713954809
336,15.629607732585225,2.9160673934938637,23.224299212823524,17.917412254435746
337,15.543144699425794,2.906033894684543,23.097554445009678,17.820217664514015
338,15.457358599854258,2.8960602619920435,22.97172925420944,17.723717218064515
339,15.372242841654142,2.886145763102412,22.84681543269604,17.627904827320748
340,15.287790911055916,2.8762896808378255,22.722804860568147,17.532774467760316
341,15.203996371625996,2.866491312774196,22.59968950463873,17.43832017740411
342,15.120852863174198,2.8567499708693784,22.477461417341747,17.344536056122784
343,15.038354100679019,2.8470649811014814,22.356112735656318,17.251416264949803
344,14.956493873230642,2.8374356831174126,22.235635680048063,17.15895502540224
345,14.875266042991004,2.8278614298908207,22.11602255342687,17.067146618807676
346,14.794664544170997,2.8183415873895603,21.99726574012092,16.975985385638456
347,14.71468338202423,2.8088755342522713,21.8793577048667,16.885465724852867
348,14.635316631857078,2.79946266147378,21.76229099181399,16.795582093242775
349,14.556558438054845,2.7901023720990255,21.646058223546483,16.70632900478832
350,14.47840301312353,2.7807940809254794,21.53065210011667,16.617701030019138
351,14.400844636747081,2.771537214213491,21.41606539809532,16.529692795382466
352,14.32387765485986,2.7623312094046013,21.302290969635095,16.442298982617444
353,14.247496478733868,2.7531755148474506,21.189321741547765,16.355514328136614
354,14.171695584080618,2.7440695895311467,21.07715071439506,16.269333622413356
355,14.096469510167395,2.7350129028257792,20.9657709615927,16.18375170937637
356,14.021812858947454,2.726004934229935,20.85517562852715,16.09876348580998
357,13.947720294204169,2.7170451731250127,20.74535793168547,16.014363900761428
358,13.874186540708653,2.7081331185361845,20.636311157797106,15.930547954954188
359,13.80120638339078,2.699268278899673,20.52802866298831,15.84731070020768
360,13.72877466652318,2.690450171836295,20.42050387194805,15.764647238863256
361,13.656886292918214,2.6816783239311315,20.31373027710603,15.682552723216393
