beta,mse
0.1,1.8618816674287493
0.4,1.861948906124596
0.7,1.8632721921577036
1,1.8700005618649165
2.5,44.256155155037355
5,518.770286672174
10,584.6030501634409
20,1071.237114310269
50,1551.5519463553574
100,2306.9250303565627
