class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.9267566519132262,88.55711505115526,78.06667984635786,31.645705875417065,0.20079101518486897,1.5297082118849332,80.85797720384885,31,0.5425751209259033,3000,2368
WIZARD,1.9027390555681936,88.47151497064799,57.156019696900756,45.83554906204335,0.07765467841964321,8.459261591988245,75.16592274840781,8,0.1535029411315918,700,566
WIZARD,1.9167723107361787,91.34891815006847,76.58212926322093,30.078077092258372,0.877427217537141,1.1134482769150629,80.8367855630902,21,0.3701908588409424,2000,1598
WIZARD,1.9331262643453901,92.35549175245373,80.97678759856217,25.275692332739165,0.7176873536326845,0.6743409626122382,80.83189678657574,23,0.4007720947265625,2200,1779
WIZARD,1.8201281192325445,96.09534382353412,75.30740537285057,21.37919842761647,3.6373487113469634,3.5807036646518884,71.88204737680617,7,0.12217497825622559,600,470
WIZARD,1.8838919110787433,91.69893905544475,82.38345011074499,22.322245088504886,3.3238846472408348,0.27148109806454246,79.0670098516985,22,0.38740086555480957,2100,1687
WIZARD,1.914085180498621,90.34150157376969,77.2635820894973,30.719697071323903,0.23744139476756995,1.4377778706415636,81.04205839778906,41,0.7329559326171875,4000,3194
WIZARD,1.9090610340651917,90.26438110171989,78.58341991940684,29.064308310398754,1.6757196633746256,0.4121710050999008,80.77280484579362,40,0.7096309661865234,3900,3112
WIZARD,1.8822013071875074,86.20864354793639,90.51831530421202,18.67069344017247,0.8283487438851417,3.773998963793977,78.05988390368653,14,0.2424330711364746,1300,1037
WIZARD,1.9283422988442633,88.29315000046321,77.03262078817815,33.13974054981504,0.010162298947101647,1.524326362596492,80.87220967998833,36,0.6384940147399902,3500,2780
